Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2024-07-19,792.9319458007812,800.677228233124,791.0572615353138,797.2239068544229,26002152
2024-07-22,810.3218994140625,814.4905276323838,795.5712715150735,797.7172520784763,53744822
2024-07-23,798.407958984375,812.9119216218081,791.7973027922226,812.7885887086006,52002152
2024-07-24,791.3286743164062,799.6906218755655,783.4353677463822,793.3513220807449,61728206
2024-07-25,797.5198974609375,801.6638951787058,785.8772830890329,785.8772830890329,25535732
2024-07-26,798.2846069335938,800.0605887969758,787.5792741911353,791.7972838101718,43810540
2024-07-29,791.822021484375,805.0432741154053,788.4920327099303,796.7306475152811,51001148
2024-07-30,797.0020141601562,806.4739582617092,788.8373508245744,790.317345854264,54595834
2024-07-31,797.1006469726562,803.0946388161857,793.8693004409521,796.2373165488889,37820484
2024-08-01,808.471923828125,814.0219048337823,798.1859108540549,800.627938629233,26215174
2024-08-02,818.51123046875,824.1105327295066,804.6239322848401,804.6239322848401,44119238
2024-08-05,797.1006469726562,812.0239300120638,789.824004829474,809.1132611105608,41333634
2024-08-06,789.922607421875,805.5858871810888,786.0253355957136,804.1305829139676,45116050
2024-08-07,800.9239501953125,804.1306059860544,790.4159617464212,797.7172944045706,42346264
2024-08-08,810.3958740234375,815.6252376687839,798.8272709671206,801.1705962949537,33976950
2024-08-09,814.0958862304688,820.1885804457108,811.9252750900921,814.9839073123685,26644618
2024-08-12,818.9797973632812,826.7990913723679,812.6898193077751,814.9838233487179,39316196
2024-08-13,790.9093017578125,805.3146225179424,789.8980079765901,803.1439511462899,54055042
2024-08-14,793.1785888671875,796.0891971974215,790.9092152779186,792.5372336839343,32334428
2024-08-16,805.1665649414062,806.177918901087,794.7572792867222,803.3905830654421,27849246
2024-08-19,804.895263671875,807.9045746403995,801.0225621096914,807.9045746403995,19502164
2024-08-20,807.92919921875,812.0238759013653,802.8725499307859,802.8725499307859,31134494
2024-08-21,802.05859375,806.3752455426795,798.1119406824072,803.1932203742449,47630904
2024-08-22,804.77197265625,808.2252943260683,803.1439540663039,805.1172807347715,21300638
2024-08-23,801.6885986328125,806.1038926835937,800.6772446912317,806.1038926835937,20333422
2024-08-26,809.0392456054688,812.9858989531632,805.2159251748899,805.2159251748899,22364266
2024-08-27,807.9539184570312,812.714580974844,805.2159036816922,810.7412543536698,35773244
2024-08-28,807.6332397460938,808.9405806750858,804.2292392849356,807.9539173658313,26921188
2024-08-29,808.3485717773438,811.2345497877237,804.6979056469421,810.0505418236547,49052604
2024-08-30,807.5346069335938,819.9172195651064,799.7646332824804,816.9572296027775,445342100
2024-09-02,802.6258544921875,812.4185353190471,800.7758609185206,812.4185353190471,34049680
2024-09-03,807.7565307617188,809.0391809529892,801.4665524914798,806.1038818486695,37282860
2024-09-04,809.9519653320312,811.4319603519671,805.1172908451134,808.5706125582972,24682744
2024-09-05,811.7525024414062,813.947864316631,810.0505324148638,812.0238589250097,22876318
2024-09-06,807.5592041015625,812.8872099026286,806.1532209716318,808.2252499925564,26029602
2024-09-09,812.2705688476562,813.2572321563082,804.1799176724811,808.0772497858858,23792914
2024-09-10,814.169921875,815.9705945420105,808.0772877024264,815.9705945420105,26606646
2024-09-11,810.9879150390625,815.2305552034559,808.6692201411954,814.1945707781381,22226684
2024-09-12,822.1865234375,823.8638631072175,812.541925723635,815.970556634334,32424046
2024-09-13,821.8658447265625,825.8371886289187,817.4752411837702,825.8371886289187,23860532
2024-09-16,824.3324584960938,827.7118283198007,820.9285184448568,822.383822656841,15172820
2024-09-17,823.2718505859375,827.8104775064535,820.9778464556504,827.8104775064535,20127122
2024-09-18,836.0985107421875,838.1211584780381,824.4065144173259,824.7765131575844,40917342
2024-09-19,842.8571166992188,848.0370989791965,838.2444778560398,838.2691083056365,30651776
2024-09-20,858.989013671875,860.8390072921377,842.3884524296358,846.8037464482039,60623386
2024-09-23,868.1650390625,871.3963251528371,858.5203814686755,862.8370332933276,26965350
2024-09-24,872.2350463867188,878.9443447710721,865.4270455398441,870.7303607683197,33039036
2024-09-25,877.6863403320312,882.0770041306025,868.3377295053485,868.3377295053485,31965312
2024-09-26,879.832275390625,882.0769584056752,872.2350164313859,874.7016745924757,31899644
2024-09-27,864.6377563476562,877.2423442796407,863.3304153886946,876.6503703689774,35613502
2024-09-30,854.47509765625,864.0456833682003,850.701098537286,862.738402689165,26383534
2024-10-01,851.5890502929688,859.3837142697525,848.5797393423385,850.5037447767241,24572284
2024-10-03,829.7838134765625,851.5644172954591,825.5164827720641,846.3844351066934,48473398
2024-10-04,817.771240234375,834.0511850540141,815.4772359655595,826.083866681385,48683232
2024-10-07,798.1119384765625,818.4371776300311,795.7439225540929,815.0824984433904,94458296
2024-10-08,814.5151977539062,817.351854577489,800.1838900610866,804.1305430330278,29734406
2024-10-09,805.6846313476562,817.3272467507278,803.4892692768091,813.750592132383,41125642
2024-10-10,820.114501953125,821.6191272702827,805.363874384187,808.5705299330368,21754766
2024-10-11,814.4906005859375,821.1258875682706,810.6672800804614,821.1258875682706,23672594
2024-10-14,832.7931518554688,834.741848018609,815.9705545228965,816.9819085005773,18527508
2024-10-15,830.81982421875,837.6771462351046,826.5771840500105,835.7038196244212,19651130
2024-10-16,838.565185546875,842.585790426718,828.8465156450762,828.8465156450762,20470682
2024-10-17,825.4178466796875,837.5044718768119,821.4958240034423,836.1724403142362,14695732
2024-10-18,829.7098388671875,834.2238355924767,816.0198853262701,820.4598702584595,24809724
2024-10-21,852.8223876953125,862.4177242903107,844.1151323678729,846.063768270474,46548354
2024-10-22,845.841796875,858.3970631644344,843.9424218629189,853.4884373802005,38875280
2024-10-23,856.3251342773438,861.603759041874,841.1551854708522,841.1551854708522,38036090
2024-10-24,863.15771484375,872.5310159915173,857.4597103207274,857.4597103207274,30832258
2024-10-25,860.0744018554688,867.2030200365818,852.8223905419693,865.7970368926951,26130478
2024-10-28,855.5357055664062,863.8237012026692,852.9210840084185,859.383716444917,22012142
2024-10-29,864.2430419921875,870.2370336046123,851.0464203091243,851.5644426318723,35794926
2024-10-30,855.7330932617188,865.6737383463702,850.6024319063034,859.3837596235229,32715724
2024-10-31,856.2756958007812,857.8543931673494,848.234426273393,852.4770662952162,22895912
2024-11-01,857.0651245117188,860.419743696405,851.5397737386437,854.9437742666823,1759692
2024-11-04,845.6197509765625,860.8637106769045,844.0411138190809,860.8637106769045,28089248
2024-11-05,867.2030029296875,869.5956493162819,837.6277954866241,840.1437747820238,44232406
2024-11-06,865.92041015625,873.9370497603172,861.0364145993881,873.9370497603172,27787910
2024-11-07,861.62841796875,868.7323455565536,857.4104082699865,860.5184217555121,18895456
2024-11-08,865.5256958007812,869.1517316326272,861.2830556229201,864.3170573375987,19902986
2024-11-11,871.3717041015625,879.5116762015548,863.9223481240455,865.5750573030832,24565362
2024-11-12,847.6423950195312,875.6636561032956,842.9311140165652,874.1836611915717,31395406
2024-11-13,829.463134765625,853.1677439816382,825.3438276461692,846.9270867373347,35728500
2024-11-14,835.087158203125,841.05645917869,824.8998474928816,825.39317914741,27146470
2024-11-18,841.1797485351562,847.987749103584,836.1971111266544,838.6637692715708,27081968
2024-11-19,859.507080078125,865.1803941380466,839.9957889401087,845.5704607570133,50981272
2024-11-21,858.989013671875,867.7703408111802,855.5356922473849,863.0343691875372,35716512
2024-11-22,861.1597290039062,865.4517505554312,853.2417920363309,860.1484352390544,24773612
