Date,usd_inr_rate,usd_inr_change_1d,usd_inr_change_5d,usd_inr_change_20d,usd_inr_momentum,usd_inr_volatility,inr_weakness_score
2023-01-26,81.50270080566406,-0.001215625982869395,0.0008190947349624444,-0.01628562512149412,0.00016971416041970943,0.003119518272685806,-0.00018960772453311184
2023-01-27,81.44509887695312,-0.0007067487106749981,0.0025270788296645197,-0.016780319197241433,0.000510209098698633,0.003116350594088161,0.0006284868942389465
2023-01-30,81.50800323486328,0.0007723528951102399,0.006569913600232846,-0.015006663174193413,0.0013141189336819624,0.003136597950909393,0.0026741509182185387
2023-01-31,81.57990264892578,0.0008821147765738502,0.0011278186689287484,-0.013615682240233573,0.00022596707493121037,0.003157657080874316,0.0007589816337875277
2023-02-01,81.76840209960938,0.0023106113707291875,0.00204044158207517,-0.012288304172737186,0.0004085408697737769,0.0032085252469130302,0.0016589392838463589
2023-02-02,81.71029663085938,-0.0007106103000424913,0.0025471036314528295,-0.011566955042992544,0.0005095440063391576,0.003202773913577115,0.0006327501713205996
2023-02-03,82.0458984375,0.004107215620043236,0.007376742969574579,-0.007251530398601491,0.0014723368724828046,0.0033700061635081983,0.004297610200634509
2023-02-06,82.22599792480469,0.0021951065285961135,0.008808885771284691,-0.0005761452498062036,0.0017568875991799792,0.003268023060384104,0.0040477746225778466
2023-02-07,82.75499725341797,0.006433480188310359,0.01440421680262527,0.006995583720388332,0.002867160681527281,0.0035579350041223205,0.007754805320569908
2023-02-08,82.74189758300781,-0.00015829461476557505,0.011905521673427621,0.013529336396278291,0.0023733794844283283,0.0031646488000013273,0.004220352501450555
2023-02-09,82.65950012207031,-0.0009958372160226991,0.011616693738111472,0.012589485462271899,0.002316334101232287,0.0031828847894966486,0.003781573465394048
2023-02-10,82.533203125,-0.0015279187133214744,0.005939415580551,0.017476324268358656,0.0011893072345593447,0.0027875184275754487,0.0015274493592045135
2023-02-13,82.51300048828125,-0.00024478192962107403,0.0034904114357969807,0.015194771182932554,0.0007013295429159072,0.002784781237023149,0.0011596095217654367
2023-02-14,82.59739685058594,0.0010228250312709353,-0.0019044215825350097,0.011570895044742402,-0.0003808014884919775,0.0026352130483517553,-0.000276436908799722
2023-02-15,82.86759948730469,0.003271321458320653,0.0015192049973324906,0.01646235954372699,0.0003051217261252681,0.002650399748138252,0.001855826600365589
2023-02-16,82.73770141601562,-0.0015675375187977902,0.0009460654108701672,0.015984385953916602,0.0001907816655702499,0.002670295640833598,-0.00028596088458699104
2023-02-17,82.69529724121094,-0.0005125133292194217,0.0019639867359253493,0.017916067625301846,0.0003938627423906604,0.0025826926042035025,0.0005023495118070342
2023-02-20,82.75800323486328,0.0007582776257450963,0.0029692623602608492,0.02200658659018173,0.0005944746534638945,0.002393225524306294,0.0013724321544154618
2023-02-21,82.69750213623047,-0.0007310603961905304,0.0012119665929135603,0.014842715359671299,0.00024369756797160136,0.002081149117931469,0.0001442750897893363
2023-02-22,82.86119842529297,0.0019794586877948106,-7.724444838896893e-05,0.015432241894050458,-1.4674986133567103e-05,0.0020948598867400166,0.0007642076447611636
2023-02-23,82.83529663085938,-0.00031259256353799447,0.0011795736789088629,0.01635032719188989,0.00023631400491839206,0.0020592830892001758,0.0002997292797329787
2023-02-24,82.6178970336914,-0.002624480215683511,-0.0009359686717584914,0.01439986166030871,-0.00018607937237442586,0.0021751705691573156,-0.0013864064995132797
2023-02-27,82.91799926757812,0.0036324119187436388,0.0019332998194843132,0.017298866083763187,0.00038874748622528264,0.0022708854937798597,0.002149578959210334
2023-02-28,82.6520004272461,-0.0032079746578742574,-0.0005502186620995886,0.013141689846505766,-0.00010663536611146273,0.002446220803409364,-0.0014802460716130186
2023-03-01,82.6353988647461,-0.00020086098841143318,-0.0027250337291518933,0.010603078241403718,-0.0005426993013527115,0.0024211382586343624,-0.0010606643045159548
2023-03-02,82.4198989868164,-0.002607839750158547,-0.005014742035561404,0.008684368864340097,-0.001001748738676822,0.0025079276231753937,-0.0028480831323348865
2023-03-03,82.35569763183594,-0.0007789545458037894,-0.0031736392630346,0.0037759254299827294,-0.0006326436047008777,0.00236535532370374,-0.001453466678642159
2023-03-06,81.7125015258789,-0.007809977019833991,-0.014538432576129301,-0.006244939701374852,-0.0029211213924164037,0.0029136660930052564,-0.008361856998497308
2023-03-07,81.85440063476562,0.0017365654732988123,-0.009650096650504536,-0.010882685620718147,-0.0019322133661817897,0.0025017726622035704,-0.002780066815686373
2023-03-08,82.07460021972656,0.0026901374056047533,-0.006786421469779813,-0.008064806135389957,-0.0013540136873785523,0.002603879626193559,-0.0013660755849056083
