Price,Close,High,Low,Open,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,MACD_Diff,ADX,RSI_14,Stoch_K,Stoch_D,ROC_12,Williams_R,BB_High,BB_Mid,BB_Low,BB_Width,BB_Percent,ATR_14,StdDev_20,OBV,Volume_SMA_20,VWAP,Returns,Log_Returns,Volatility_20,Price_Change,HL_Range,Avg_Price
2023-04-19,870.3522338867188,875.2314367685581,865.8145513823755,874.2555961921902,24377956.0,848.8739776611328,838.8452673339843,844.4408508300781,862.1532283791203,850.745124215508,11.408104163612279,8.225285591267411,3.1828185723448676,23.93428259535913,61.07088488287347,65.3242317935758,71.85434048101261,4.346295459256919,-34.675768206424195,888.6120206887604,848.8739776611328,809.1359346335053,9.36253061664492,0.7702480367572876,15.936564560035464,20.385185950287102,2443058598.0,24079170.8,514.1061268609069,-0.0055192167984483564,-0.00553450395016604,0.010636176688190472,-4.830322265625,9.416885386182571,870.4660740125508
2023-04-20,872.7918701171875,877.573453395635,867.717487005693,870.6937889701342,16999919.0,851.7112365722656,839.5576318359375,845.3597857666016,863.7899424926691,852.3782165045213,11.411725988147737,8.862573670643476,2.5491523175042605,24.865533279085703,62.09160631905382,66.95532928412229,68.12044830025086,5.099892443988042,-33.044670715877714,889.7348987959099,851.7112365722656,813.6875743486214,8.928768481832286,0.7772041448944559,15.502236119314507,19.505727154228538,2460058517.0,24373942.25,514.3753127895556,0.002803044716245706,0.0027991235122361256,0.010319411323101315,2.43963623046875,9.855966389942068,872.6942701728385
2023-04-21,864.2532348632812,878.9396237033103,861.0817529732831,872.9381803026192,29578071.0,854.1118041992188,839.9840747070313,846.2726458740234,863.861218241994,853.2578474940591,10.603370747934946,9.21073308610177,1.3926376618331755,24.99615460720516,56.50711161610631,54.32903293087387,62.20286466952402,0.9575402848386639,-45.67096706912613,888.7902314306136,854.1118041992188,819.433376967824,8.120348427664677,0.6462210295235259,15.670495734365415,17.789657811885714,2430480446.0,25110913.25,514.8367021103765,-0.009783128769015437,-0.009831297994565488,0.010717516172251152,-8.53863525390625,17.85787073002723,868.0915371799582
2023-04-24,882.8917846679688,884.5995057214851,873.3773387983774,883.135744818471,30881665.0,856.666064453125,840.9804089355468,847.2571157836915,866.788997692144,855.4529539513858,11.336043740758214,9.63579521703306,1.7002485237251541,25.45506401574767,64.09778884428279,78.65645144243643,66.64693788581089,2.3704515091137894,-21.343548557563576,891.9172939302053,856.666064453125,821.4148349760447,8.229864807259252,0.8719830571001103,16.00447967178245,18.083499163935237,2461362111.0,25717203.8,515.3337333654124,0.021566074679067793,0.02133681715725633,0.01092809285864908,18.6385498046875,11.222166923107693,880.2895430626104
2023-04-25,891.3816528320312,893.8700345751175,881.2816663774997,884.4043683667354,41383839.0,859.2642425537109,842.1650805664062,848.3000402832031,870.5724830982805,858.1143390536558,12.458144044624646,10.200264982551378,2.2578790620732683,26.381435013441465,66.92906516677638,92.72220271586652,75.23589569639229,3.2613771090089214,-7.277797284133477,896.6431531623333,859.2642425537109,821.8853319450885,8.700213219051975,0.9296193997546793,15.760471709342116,19.174976554486356,2502745950.0,26914819.75,516.0132415396824,0.009615978211027665,0.00957003895832908,0.010942273947472143,8.4898681640625,12.588368197617797,888.8444512615496
2023-04-26,892.8453979492188,894.7970792127569,883.8676522248263,889.429955738027,30371555.0,862.1673706054687,843.2550964355469,849.2717120361328,873.9990853830402,860.6870100829567,13.312075300083507,10.822627046057805,2.4894482540257012,27.28948067148995,67.40631276383846,95.55770973142911,88.97878796324405,4.565717901039847,-4.442290268570872,900.4967497221279,862.1673706054687,823.8379914888095,8.891401002508799,0.9001894636797857,15.41539708638415,19.66255661127857,2533117505.0,27537366.45,516.5125728422763,0.0016421081952235905,0.0016407614097379215,0.010762189027768035,1.4637451171875,10.929426987930583,890.5033764622673
2023-04-27,896.1632080078125,897.6758086146725,886.599981860416,887.5270423599347,25835108.0,865.3852020263672,844.3782885742188,850.2631253051758,877.408950402236,863.314876595909,14.094073806326946,11.476916398111635,2.617157408215311,28.285367848751996,68.51540122164158,97.20712163535579,95.16234469421717,5.7458706303698515,-2.792878364644195,903.7845693801884,865.3852020263672,826.985834672546,8.874514439097418,0.9007618888333395,15.105427776946458,19.69845981939293,2558952613.0,27964337.05,516.9396465200647,0.0037159961469415137,0.003709108889999892,0.010635786010204998,3.31781005859375,11.075826754256468,893.4796661609671
2023-04-28,895.4801635742188,898.2125053822566,888.2589192038619,892.9917223591818,20381002.0,868.7494140625,845.6234619140625,851.2195977783203,880.1891370440794,865.6974904461542,14.491646597925183,12.079862438074345,2.4117841598508374,29.23949601585958,68.00237578577313,95.00448494283042,95.92310543653848,4.053746213644426,-4.995515057169572,905.2702651982888,868.7494140625,832.2285629267112,8.407683629968215,0.8659655878819837,14.73743909133562,18.73480133252193,2538571611.0,28131003.4,517.2763277627096,-0.000762187542950099,-0.0007624781555523331,0.010521352828775988,-0.68304443359375,9.953586178394744,893.9838627201125
2023-05-02,899.8225708007812,903.433192842073,896.504748580591,901.6766917183744,17515017.0,872.0355529785156,847.0179370117188,852.1199380493164,883.2096653143412,868.2252741761266,14.984391138214619,12.660768178102401,2.3236229601122176,30.41017915898201,69.56272817832735,93.91444788259017,95.37535148692548,3.589274833275623,-6.085552117409835,907.299793939605,872.0355529785156,836.7713120174262,8.087798906969153,0.8939829281016689,14.25283838965838,18.090173914396143,2556086628.0,27783303.35,517.5697366453006,0.004849250048410081,0.004837530308090408,0.010497602212954149,4.3424072265625,6.928444261482014,899.9201707411485
2023-05-03,900.554443359375,901.5302839262966,889.5274568652771,897.33418140065,18715142.0,875.541259765625,848.1411291503906,852.9574914550781,885.8780927058849,870.6200274489598,15.258065256925079,13.180227593866938,2.0778376630581405,30.566187602337976,69.82976627902205,93.51643618549049,94.14512300363704,2.6529413741401022,-6.483563814509502,907.3381040214671,875.541259765625,843.7444155097829,7.263357129361059,0.8933280830086511,14.092123294755604,16.3114369355586,2574801770.0,26974984.7,517.8805293937102,0.0008133520788908832,0.00081302148733484,0.010346102913708641,0.73187255859375,12.002827061019502,897.2040613836497
